word,category,frequency,length
defense,noun,167,7
counsel,noun,17,7
startled,verb,21,8
observers,noun,20,9
viewed,verb,25,6
prelude,noun,5,7
quarrel,noun,20,7
policemen,noun,15,9
grant,verb,47,5
client,noun,15,6
alan,noun,5,4
separate,adjective,79,8
request,noun,49,7
fears,verb,47,5
aspects,noun,64,7
indicated,verb,108,9
knew,verb,395,4
receiving,verb,34,9
stolen,verb,18,6
involving,verb,33,9
themselves,function,270,10
others,noun,323,6
leaned,verb,38,6
bench,noun,35,5
inquired,verb,16,8
mean,verb,199,4
admitting,verb,8,9
your,function,923,4
honor,noun,66,5
replied,verb,57,7
amounts,verb,44,7
true,adjective,221,4
conflict,noun,52,8
july,noun,66,4
kennedy,noun,140,7
today,noun,284,5
pushed,verb,53,6
white,adjective,365,5
business,noun,393,8
devote,verb,15,6
attention,noun,179,9
working,verb,151,7
berlin,noun,74,6
crisis,noun,81,6
address,noun,77,7
deliver,verb,18,7
tomorrow,noun,63,8
american,adjective,569,8
nationwide,adjective,5,10
television,noun,50,10
radio,noun,120,5
much,adjective,496,4
summer,noun,134,6
cape,noun,20,4
cod,noun,6,3
writing,verb,117,7
portions,noun,11,8
aids,noun,27,4
whom,function,145,4
talked,verb,58,6
returned,verb,115,8
port,noun,21,4
spokesman,noun,13,9
text,noun,60,4
quite,function,42,5
way,noun,899,3
completion,noun,57,10
decisions,noun,54,9
pierre,noun,17,6
press,noun,127,5
secretary,noun,191,9
say,verb,503,3
thru,function,16,4
advisers,noun,12,8
staff,noun,113,5
doing,verb,163,5
involved,verb,147,8
composition,noun,25,11
rather,function,124,6
minute,noun,55,6
meet,verb,149,4
latest,adjective,35,6
precipitated,verb,9,12
demands,noun,55,7
dismissed,verb,14,9
acting,verb,61,6
karns,noun,7,5
prosecution,noun,9,11
obtained,verb,115,8
unfair,adjective,13,6
illegal,adjective,9,7
matter,noun,308,6
significance,noun,66,12
innocence,noun,28,9
legal,adjective,72,5
rights,noun,77,6
ruling,noun,24,6
ruled,verb,31,5
unable,adjective,54,6
contempt,noun,15,8
proceedings,noun,18,11
morris,noun,21,6
wexler,noun,6,6
prosecutor,noun,8,10
admitted,verb,44,8
earlier,adjective,76,7
hearings,noun,8,8
questioned,verb,29,10
individuals,noun,73,11
building,noun,160,8
mayer,noun,5,5
goldberg,noun,10,8
judges,noun,20,6
precinct,noun,8,8
ward,noun,25,4
procedure,noun,79,9
constituted,verb,11,11
intimidation,noun,5,12
used,verb,611,4
questioning,verb,21,11
outside,function,145,7
room,noun,384,4
misuse,noun,5,6
processes,noun,57,9
abuse,noun,18,5
process,noun,196,7
function,noun,113,8
east,adjective,183,4
sitting,verb,96,7
faced,verb,54,5
claims,verb,74,6
precedent,noun,9,9
reading,verb,141,7
statement,noun,141,9
dismiss,verb,5,7
care,noun,162,4
social,adjective,380,6
security,noun,91,8
workers,noun,86,7
raised,verb,101,6
americans,noun,93,9
covered,verb,104,7
railroad,noun,58,8
retirement,noun,26,10
programs,noun,139,8
message,noun,64,7
tied,verb,34,4
aged,verb,18,4
requests,noun,14,8
grants,noun,20,6
finance,verb,31,7
dental,adjective,12,6
scholarships,noun,8,12
build,verb,86,5
expand,verb,13,6
capitol,noun,22,7
hill,noun,72,4
financed,verb,16,8
payroll,noun,16,7
worker,noun,30,6
employer,noun,15,8
boost,verb,15,5
base,noun,91,4
imposed,verb,19,7
those,function,850,5
rise,verb,102,4
starting,verb,68,8
levy,noun,7,4
benefits,noun,33,8
figures,noun,113,7
later,adjective,55,5
parts,noun,113,5
entail,verb,5,6
nursing,verb,17,7
carries,verb,22,7
systems,noun,129,7
full,adjective,222,4
payment,noun,53,7
stays,noun,5,5
illness,noun,20,7
patient,noun,86,7
following,verb,221,9
discharge,noun,19,9
formula,noun,59,7
allowing,verb,31,8
use,verb,591,3
only,adjective,370,4
part,noun,499,4
diagnostic,noun,10,10
service,noun,314,7
excess,noun,42,6
visiting,verb,36,8
nurse,noun,17,5
noted,verb,90,5
states,noun,603,6
needy,adjective,6,5
modest,adjective,29,6
wish,noun,110,4
staggered,verb,12,9
drain,noun,18,5
caused,verb,90,6
extended,verb,55,8
stay,noun,113,4
cut,verb,192,3
essential,adjective,81,9
sufficient,adjective,63,10
deductible,adjective,5,10
requirements,noun,83,12
discourage,verb,9,10
unnecessary,adjective,16,11
hospitals,noun,20,9
medicine,noun,30,8
absolute,adjective,30,8
freedom,noun,128,7
guaranteed,verb,13,10
choose,verb,50,6
doctors,noun,30,7
ambitious,adjective,16,9
enlarge,verb,7,7
handle,verb,53,6
student,noun,131,7
needed,verb,187,6
rising,verb,62,6
qualified,verb,24,9
young,adjective,385,5
going,verb,399,5
afford,verb,40,6
contributions,noun,29,13
scholarship,noun,36,11
equal,adjective,90,5
based,verb,119,5
government,noun,418,10
matching,verb,33,8
totaling,verb,6,8
constructing,verb,7,12
capacity,noun,83,8
existing,verb,60,8
area,noun,324,4
doubling,verb,7,8
dollar,noun,46,6
initial,adjective,68,7
appropriation,noun,5,13
improve,verb,39,7
sum,noun,45,3
experimental,adjective,38,12
field,noun,274,5
bureau,noun,42,6
national,adjective,374,8
asks,verb,18,4
vocational,adjective,77,10
rehabilitation,noun,22,14
facilities,noun,100,10
propose,verb,13,7
increasing,verb,74,10
direct,adjective,126,6
combine,verb,17,7
indispensable,adjective,15,13
elements,noun,107,8
sound,adjective,203,5
knowledge,noun,145,9
reaction,noun,124,8
along,function,198,5
lines,noun,198,5
placing,verb,27,7
criticized,verb,14,10
backed,verb,24,6
hailed,verb,7,6
republican,noun,54,10
leader,noun,74,6
persuade,verb,17,8
change,verb,240,6
compulsory,adjective,7,10
voluntary,adjective,22,9
enacted,verb,12,7
rayburn,noun,39,7
